                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70664,                0.86029,                0.86622,                0.83546,                0.85065,                0.90024,                0.76158,                0.69929,                0.72865,                0.87852,                7.7e-06,                7.7e-06,                7.7e-06
                      2,                0.63685,                0.66528,                   0.86,                0.83544,                0.85067,                0.90024,                0.76723,                0.69905,                0.71018,                0.87857,             1.9244e-05,             1.9244e-05,             1.9244e-05
                      3,                0.59019,                0.80394,                0.85978,                0.82562,                0.85103,                0.90024,                0.73934,                0.74154,                0.69187,                0.87746,              3.078e-05,              3.078e-05,              3.078e-05
                      4,                0.66171,                0.79923,                0.88659,                0.73993,                0.90333,                0.90024,                0.73758,                0.74764,                0.70833,                0.87404,             4.2308e-05,             4.2308e-05,             4.2308e-05
                      5,                0.62268,                0.78093,                0.84393,                 0.7449,                0.90476,                0.90024,                0.73287,                0.73604,                 0.6982,                0.87499,             5.3829e-05,             5.3829e-05,             5.3829e-05
                      6,                0.55701,                0.65304,                0.84799,                0.74617,                0.90476,                0.90024,                0.73259,                 0.7343,                0.71697,                0.87319,             6.5342e-05,             6.5342e-05,             6.5342e-05
                      7,                 0.5638,                0.58976,                0.84376,                0.74166,                0.90476,                0.90024,                0.73141,                 0.7353,                0.74943,                0.86988,             7.6848e-05,             7.6848e-05,             7.6848e-05
                      8,                 0.6028,                0.66597,                0.85935,                0.74908,                0.90476,                0.90024,                0.72226,                0.75841,                0.73653,                0.87057,             8.8345e-05,             8.8345e-05,             8.8345e-05
                      9,                0.60108,                0.66513,                0.86488,                0.77863,                0.90476,                0.90024,                0.69162,                0.80927,                0.74514,                0.87312,             9.9836e-05,             9.9836e-05,             9.9836e-05
                     10,                0.57548,                0.69911,                0.85574,                0.78197,                0.90476,                0.90024,                0.69616,                  0.817,                0.76133,                0.87339,             0.00011132,             0.00011132,             0.00011132
                     11,                 0.5501,                0.64785,                0.87151,                 0.7845,                0.90476,                0.90024,                0.70851,                0.77643,                0.70586,                0.87075,             0.00012279,             0.00012279,             0.00012279
                     12,                 0.5388,                0.62156,                0.83239,                 0.7843,                0.90476,                0.90024,                0.70884,                0.76125,                0.68918,                0.87034,             0.00013426,             0.00013426,             0.00013426
                     13,                 0.5832,                0.65899,                0.86242,                0.77328,                0.90476,                0.90024,                0.72743,                  0.748,                0.70471,                0.87088,             0.00014572,             0.00014572,             0.00014572
                     14,                0.56641,                0.70649,                0.85039,                 0.7846,                0.90476,                0.90024,                0.72292,                0.75603,                0.70786,                0.87342,             0.00015717,             0.00015717,             0.00015717
                     15,                0.56489,                0.56766,                0.86233,                0.83562,                0.90476,                0.94762,                0.75783,                0.77059,                0.68157,                0.87623,             0.00016862,             0.00016862,             0.00016862
                     16,                0.56851,                0.60332,                0.84445,                0.84135,                0.90476,                0.94762,                0.74835,                0.77586,                0.67404,                0.87729,             0.00018005,             0.00018005,             0.00018005
                     17,                0.60521,                0.62372,                 0.8525,                0.89114,                0.85714,                0.94762,                0.76004,                0.74244,                0.62862,                0.87599,             0.00019148,             0.00019148,             0.00019148
                     18,                0.57085,                0.57753,                0.87125,                0.89887,                0.85714,                0.94762,                0.77194,                0.73515,                0.60969,                0.87348,             0.00020291,             0.00020291,             0.00020291
                     19,                0.50327,                0.54459,                0.82563,                0.89953,                0.85714,                0.94762,                0.78165,                0.73184,                0.60122,                0.87214,             0.00021432,             0.00021432,             0.00021432
