                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57511,                0.60366,                0.84571,                0.85983,                0.85294,                0.90024,                0.74353,                0.73744,                0.74632,                0.88383,                7.7e-06,                7.7e-06,                7.7e-06
                      2,                0.50768,                0.59493,                0.85628,                0.86121,                0.85317,                0.90024,                0.74331,                0.72445,                0.73588,                0.88221,             1.9244e-05,             1.9244e-05,             1.9244e-05
                      3,                0.49238,                0.62344,                0.81866,                0.87353,                0.85325,                0.90024,                0.72432,                0.74556,                0.73308,                0.88378,              3.078e-05,              3.078e-05,              3.078e-05
                      4,                0.52301,                0.62728,                0.82488,                0.89976,                0.85264,                0.90024,                0.72472,                0.77538,                0.70986,                0.88274,             4.2308e-05,             4.2308e-05,             4.2308e-05
                      5,                0.45354,                0.56269,                0.81406,                0.91459,                0.85262,                0.90024,                0.72013,                0.78837,                0.70762,                0.88451,             5.3829e-05,             5.3829e-05,             5.3829e-05
                      6,                0.52634,                0.60274,                 0.8281,                0.91232,                0.85255,                0.90024,                0.72374,                0.77796,                0.69955,                0.88305,             6.5342e-05,             6.5342e-05,             6.5342e-05
                      7,                0.53708,                0.61233,                0.83857,                  0.922,                0.85179,                0.90024,                0.69357,                 0.7823,                0.71393,                0.88256,             7.6848e-05,             7.6848e-05,             7.6848e-05
                      8,                0.46599,                0.57413,                 0.8209,                0.91095,                0.85167,                0.90024,                0.69906,                 0.7848,                0.72281,                0.88234,             8.8345e-05,             8.8345e-05,             8.8345e-05
                      9,                0.46209,                0.53811,                0.83062,                0.89398,                0.85128,                0.90024,                0.70319,                0.77094,                0.70145,                0.88404,             9.9836e-05,             9.9836e-05,             9.9836e-05
                     10,                 0.4704,                0.57621,                0.81842,                0.89166,                0.85062,                0.90024,                0.71766,                0.76833,                0.70354,                0.88553,             0.00011132,             0.00011132,             0.00011132
                     11,                0.47752,                0.61974,                0.86107,                 0.8944,                0.84942,                0.90024,                0.71784,                0.77738,                0.72069,                0.88769,             0.00012279,             0.00012279,             0.00012279
                     12,                0.45918,                0.57051,                0.84405,                0.89997,                0.84814,                0.90024,                0.72242,                  0.779,                0.71512,                0.88522,             0.00013426,             0.00013426,             0.00013426
                     13,                0.44913,                0.60699,                0.81949,                0.90994,                0.84653,                0.90024,                0.68893,                0.80734,                0.74307,                0.88454,             0.00014572,             0.00014572,             0.00014572
                     14,                0.51997,                0.61604,                0.83814,                0.91061,                0.84625,                0.90024,                0.68921,                0.82832,                0.74335,                0.88812,             0.00015717,             0.00015717,             0.00015717
                     15,                0.50084,                0.62217,                0.82673,                0.90005,                0.84661,                0.90024,                0.69371,                0.81041,                0.73632,                0.89241,             0.00016862,             0.00016862,             0.00016862
                     16,                0.47478,                0.57041,                0.82685,                0.90386,                0.84758,                0.90024,                0.70286,                0.78147,                0.72078,                0.88876,             0.00018005,             0.00018005,             0.00018005
                     17,                0.46561,                0.56329,                0.81316,                 0.9144,                0.85138,                0.90024,                0.71223,                0.78539,                0.72357,                0.88305,             0.00019148,             0.00019148,             0.00019148
                     18,                0.50211,                0.61913,                0.83115,                0.91619,                0.85293,                0.90024,                0.72622,                0.81431,                0.73583,                0.88469,             0.00020291,             0.00020291,             0.00020291
                     19,                 0.5258,                0.56625,                0.83624,                0.87236,                 0.8537,                0.90024,                0.71544,                0.81773,                0.71203,                0.88459,             0.00021432,             0.00021432,             0.00021432
                     20,                0.46057,                0.57571,                0.82517,                0.85842,                0.85444,                0.90024,                0.73016,                0.78812,                0.69902,                0.88338,             0.00022573,             0.00022573,             0.00022573
                     21,                0.47142,                0.60894,                0.83148,                0.83791,                0.85496,                0.90024,                 0.7337,                0.74917,                0.68324,                0.88431,             0.00023712,             0.00023712,             0.00023712
                     22,                0.47639,                0.56359,                0.82273,                0.77198,                  0.855,                0.90024,                0.72775,                0.73548,                0.68716,                0.88449,             0.00024852,             0.00024852,             0.00024852
                     23,                0.49776,                0.59351,                0.83319,                0.76345,                0.85468,                0.90024,                0.73724,                0.74159,                0.69311,                0.88563,              0.0002599,              0.0002599,              0.0002599
                     24,                0.47601,                0.57095,                0.83233,                0.77927,                0.85388,                0.90024,                0.72769,                0.76031,                0.69731,                0.88557,             0.00027128,             0.00027128,             0.00027128
                     25,                0.48224,                0.57149,                0.82584,                0.81517,                0.85236,                0.90024,                0.71486,                0.77477,                0.69761,                 0.8821,             0.00028264,             0.00028264,             0.00028264
                     26,                0.46413,                0.55066,                0.83471,                0.81487,                0.85171,                0.90024,                0.72472,                 0.7859,                  0.698,                 0.8823,               0.000294,               0.000294,               0.000294
                     27,                0.41947,                0.55848,                0.80071,                0.79512,                0.85154,                0.90024,                0.71274,                0.79289,                0.70937,                0.88666,             0.00030536,             0.00030536,             0.00030536
                     28,                0.52495,                0.58234,                 0.8137,                0.76847,                0.85245,                0.90024,                0.71643,                0.79062,                0.71274,                0.88855,              0.0003167,              0.0003167,              0.0003167
                     29,                0.45096,                0.54092,                0.81334,                0.76847,                0.85245,                0.90024,                0.71643,                0.79062,                0.71274,                0.88855,             0.00032804,             0.00032804,             0.00032804
                     30,                0.51146,                0.60349,                0.85656,                0.76426,                0.85443,                0.90024,                0.71439,                0.79139,                0.74027,                 0.8862,             0.00033937,             0.00033937,             0.00033937
                     31,                 0.5195,                0.58274,                0.84566,                0.77992,                0.85714,                0.90024,                0.70686,                0.78957,                0.73099,                0.88863,             0.00035069,             0.00035069,             0.00035069
                     32,                0.49128,                0.59474,                0.82988,                0.79628,                0.85714,                0.90024,                0.71455,                0.78007,                0.72442,                0.89341,             0.00036201,             0.00036201,             0.00036201
                     33,                0.48515,                0.60676,                0.83021,                0.79628,                0.85714,                0.90024,                0.71455,                0.78007,                0.72442,                0.89341,             0.00037332,             0.00037332,             0.00037332
                     34,                  0.475,                0.60756,                0.82354,                0.81493,                0.90476,                0.90024,                0.71899,                0.77481,                0.71596,                0.89708,             0.00038081,             0.00038081,             0.00038081
                     35,                 0.5342,                0.61783,                0.84511,                0.79551,                0.90476,                0.90024,                 0.7094,                0.81359,                0.71972,                0.89871,             0.00038068,             0.00038068,             0.00038068
