                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70637,                 1.1401,                0.86584,                0.45674,                0.94539,                0.89826,                0.65113,                0.80542,                 1.2893,                0.95487,             0.00040117,             0.00040117,             0.00040117
                     36,                0.76343,                 1.1872,                0.89165,                0.73327,                   0.75,                0.89826,                0.66739,                0.83381,                 1.2798,                0.96759,             0.00041266,             0.00041266,             0.00041266
                     37,                0.79348,                 1.4425,                0.90422,                0.73327,                   0.75,                0.89826,                0.66739,                0.83381,                 1.2798,                0.96759,             0.00042414,             0.00042414,             0.00042414
                     38,                0.79676,                 1.2834,                 0.9184,                0.69101,                0.75824,                0.91208,                0.69005,                0.84532,                 1.2252,                0.96329,             0.00043562,             0.00043562,             0.00043562
                     39,                0.78425,                 1.2558,                0.89008,                0.63827,                0.89249,                0.95354,                0.72792,                0.89222,                 1.1649,                0.96009,             0.00044708,             0.00044708,             0.00044708
                     40,                0.79306,                 1.3347,                 0.9047,                0.63827,                0.89249,                0.95354,                0.72792,                0.89222,                 1.1649,                0.96009,             0.00045854,             0.00045854,             0.00045854
                     41,                0.78659,                  1.186,                 0.8815,                0.63794,                0.91667,                0.95354,                0.72088,                0.90191,                  1.098,                0.96564,             0.00046999,             0.00046999,             0.00046999
                     42,                0.82343,                 1.2976,                0.90804,                0.62902,                0.91667,                  0.995,                 0.7154,                0.86632,                 1.0232,                0.96912,             0.00048144,             0.00048144,             0.00048144
                     43,                0.78396,                 1.2328,                0.91816,                0.62902,                0.91667,                  0.995,                 0.7154,                0.86632,                 1.0232,                0.96912,             0.00049287,             0.00049287,             0.00049287
                     44,                0.82925,                  1.331,                0.91828,                0.60424,                0.91667,                0.91208,                0.66948,                0.84094,                0.96657,                0.96752,              0.0005043,              0.0005043,              0.0005043
                     45,                0.74096,                 1.0745,                0.86838,                0.60424,                0.91667,                0.91208,                0.66948,                0.84094,                0.96657,                0.96752,             0.00051572,             0.00051572,             0.00051572
                     46,                0.83019,                 1.2342,                0.90333,                0.53331,                      1,                0.87062,                0.62673,                0.87837,                0.94364,                0.96753,             0.00052713,             0.00052713,             0.00052713
                     47,                0.79395,                 1.1656,                0.89228,                0.53331,                      1,                0.87062,                0.62673,                0.87837,                0.94364,                0.96753,             0.00053854,             0.00053854,             0.00053854
                     48,                0.86284,                 1.2591,                0.88815,                 0.6269,                      1,                0.91208,                0.65252,                0.92795,                0.96242,                0.96989,             0.00054994,             0.00054994,             0.00054994
                     49,                 0.8108,                 1.2442,                0.92228,                 0.6269,                      1,                0.91208,                0.65252,                0.92795,                0.96242,                0.96989,             0.00056133,             0.00056133,             0.00056133
                     50,                0.74549,                 1.0924,                0.83937,                0.68951,                0.91667,                0.87062,                0.63782,                 0.8572,                0.90739,                0.95597,             0.00057271,             0.00057271,             0.00057271
                     51,                0.79555,                 1.1246,                0.90911,                0.68951,                0.91667,                0.87062,                0.63782,                 0.8572,                0.90739,                0.95597,              0.0005783,              0.0005783,              0.0005783
                     52,                0.76627,                 1.0822,                0.89376,                0.64835,                      1,                0.91208,                0.69547,                0.75293,                0.87444,                0.93329,              0.0005781,              0.0005781,              0.0005781
                     53,                0.72927,                   1.15,                0.88249,                0.64835,                      1,                0.91208,                0.69547,                0.75293,                0.87444,                0.93329,             0.00057791,             0.00057791,             0.00057791
                     54,                0.78463,                  1.105,                0.87832,                0.66674,                      1,                0.91208,                0.68554,                0.76247,                0.89184,                 0.9278,             0.00057772,             0.00057772,             0.00057772
                     55,                0.75258,                 1.1135,                 0.8676,                0.66674,                      1,                0.91208,                0.68554,                0.76247,                0.89184,                 0.9278,             0.00057752,             0.00057752,             0.00057752
                     56,                0.81184,                 1.1343,                0.89736,                 0.6689,                0.97894,                0.91208,                0.69586,                0.77947,                0.87934,                 0.9355,             0.00057733,             0.00057733,             0.00057733
                     57,                 0.7369,                 1.0045,                 0.8579,                 0.6689,                0.97894,                0.91208,                0.69586,                0.77947,                0.87934,                 0.9355,             0.00057713,             0.00057713,             0.00057713
                     58,                0.79978,                 1.1799,                0.89686,                0.63565,                0.93145,                0.95354,                0.68469,                0.88341,                0.88703,                 0.9438,             0.00057694,             0.00057694,             0.00057694
                     59,                0.79004,                  1.009,                0.87703,                0.63565,                0.93145,                0.95354,                0.68469,                0.88341,                0.88703,                 0.9438,             0.00057675,             0.00057675,             0.00057675
                     60,                0.77438,                 1.1465,                0.89499,                0.73596,                0.91667,                0.95354,                0.64466,                0.82721,                0.87442,                0.94096,             0.00057655,             0.00057655,             0.00057655
                     61,                 0.7609,                 1.1096,                0.89876,                0.73596,                0.91667,                0.95354,                0.64466,                0.82721,                0.87442,                0.94096,             0.00057636,             0.00057636,             0.00057636
                     62,                0.72919,                 1.0206,                0.87198,                 0.7462,                0.91667,                0.95354,                0.70412,                0.73935,                0.82665,                0.93032,             0.00057616,             0.00057616,             0.00057616
                     63,                0.69327,                  1.055,                0.89406,                 0.7462,                0.91667,                0.95354,                0.70412,                0.73935,                0.82665,                0.93032,             0.00057597,             0.00057597,             0.00057597
                     64,                0.78527,                 1.0332,                0.87714,                0.74899,                0.83333,                0.93972,                0.73274,                 0.7096,                0.81941,                0.91871,             0.00057578,             0.00057578,             0.00057578
