                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90735,                 3.3893,                0.94822,                0.09755,                0.42857,                0.13928,                0.11286,                0.92333,                 3.2557,                0.95439,                7.7e-06,                7.7e-06,                7.7e-06
                      2,                0.81661,                 3.4441,                0.94829,                0.09917,                0.42857,                0.13764,                 0.1121,                0.92605,                 3.2019,                0.95355,             1.9244e-05,             1.9244e-05,             1.9244e-05
                      3,                0.79947,                 3.5603,                0.90543,                0.09284,                0.42857,                0.13623,                0.10983,                0.92116,                 3.0955,                0.94726,              3.078e-05,              3.078e-05,              3.078e-05
                      4,                0.88179,                 3.5094,                0.92148,                0.08944,                0.43651,                 0.1454,                0.11768,                0.90909,                 2.9302,                0.94327,             4.2308e-05,             4.2308e-05,             4.2308e-05
                      5,                0.76771,                 3.0909,                0.90078,                0.08734,                0.49206,                0.15586,                0.12582,                0.91912,                 2.8533,                0.94461,             5.3829e-05,             5.3829e-05,             5.3829e-05
                      6,                0.78761,                 2.9548,                0.91813,                0.06024,                0.49206,                0.15606,                0.12581,                0.92874,                 2.7543,                0.94417,             6.5342e-05,             6.5342e-05,             6.5342e-05
                      7,                0.80034,                 2.8585,                0.91722,                0.05493,                0.56349,                0.18802,                0.15936,                0.92364,                 2.6545,                0.94297,             7.6848e-05,             7.6848e-05,             7.6848e-05
                      8,                0.73919,                 2.5956,                0.89061,                0.05422,                0.57143,                0.19611,                0.16537,                 0.9189,                 2.5932,                0.94169,             8.8345e-05,             8.8345e-05,             8.8345e-05
                      9,                0.82129,                 2.7647,                0.92883,                0.28031,                0.34921,                0.20288,                0.16822,                0.87754,                 2.4687,                0.93718,             9.9836e-05,             9.9836e-05,             9.9836e-05
                     10,                0.81098,                 2.5148,                0.88993,                0.61115,                0.15079,                0.23184,                0.19486,                0.84085,                 2.3993,                0.93319,             0.00011132,             0.00011132,             0.00011132
                     11,                0.81419,                  2.745,                0.96402,                0.65558,                0.15873,                0.25741,                0.21528,                0.78863,                 2.1915,                0.93163,             0.00012279,             0.00012279,             0.00012279
                     12,                0.80245,                 2.2968,                0.95139,                0.66087,                0.18254,                 0.2985,                0.24742,                0.80056,                 2.1291,                0.93117,             0.00013426,             0.00013426,             0.00013426
                     13,                0.82203,                 2.4063,                0.91245,                0.59137,                0.38095,                0.39731,                0.31737,                0.84941,                 2.0541,                0.94625,             0.00014572,             0.00014572,             0.00014572
                     14,                0.87981,                 2.2401,                0.94967,                 0.6232,                0.38095,                0.44573,                0.36166,                0.85669,                 2.0328,                0.94286,             0.00015717,             0.00015717,             0.00015717
                     15,                0.89131,                 2.2875,                0.91933,                0.65966,                0.38095,                0.47746,                0.38594,                0.87504,                 2.0696,                0.94838,             0.00016862,             0.00016862,             0.00016862
                     16,                0.76705,                 1.8383,                0.90671,                0.71244,                0.38095,                0.47765,                0.39138,                0.86676,                 2.0148,                0.94536,             0.00018005,             0.00018005,             0.00018005
                     17,                0.78676,                 1.7883,                0.89788,                0.74158,                0.33333,                0.51455,                0.42403,                0.82482,                 1.8996,                0.93154,             0.00019148,             0.00019148,             0.00019148
                     18,                0.83213,                    1.9,                0.91785,                0.55858,                0.48713,                0.52685,                0.44922,                0.82357,                 1.8277,                0.92477,             0.00020291,             0.00020291,             0.00020291
                     19,                0.75099,                 1.7488,                0.91359,                0.56923,                0.49627,                0.53954,                0.45459,                0.81568,                 1.8034,                0.92295,             0.00021432,             0.00021432,             0.00021432
                     20,                0.72763,                 1.5441,                 0.8988,                0.59497,                0.52381,                0.55457,                0.46399,                  0.815,                 1.7559,                0.92126,             0.00022573,             0.00022573,             0.00022573
                     21,                0.72452,                 1.5973,                0.88842,                0.59733,                0.57143,                0.59035,                0.49417,                0.83772,                 1.7052,                 0.9225,             0.00023712,             0.00023712,             0.00023712
                     22,                0.75417,                 1.6856,                0.89257,                0.72219,                0.57143,                0.63187,                0.51345,                0.86263,                 1.6622,                0.92724,             0.00024852,             0.00024852,             0.00024852
                     23,                0.76687,                 1.6686,                0.89948,                0.70716,                0.57143,                0.65191,                0.51943,                0.87873,                 1.6642,                0.93398,              0.0002599,              0.0002599,              0.0002599
                     24,                0.76775,                 1.4886,                0.88576,                0.74079,                0.52381,                0.71525,                0.57843,                 0.8465,                  1.661,                0.93771,             0.00027128,             0.00027128,             0.00027128
                     25,                 0.7722,                  1.646,                0.89414,                 0.7317,                0.52381,                0.72453,                 0.5915,                 0.8005,                 1.6404,                0.93431,             0.00028264,             0.00028264,             0.00028264
                     26,                0.70975,                 1.3264,                  0.888,                0.81306,                0.47619,                0.71624,                0.58388,                0.77286,                   1.59,                0.92703,               0.000294,               0.000294,               0.000294
                     27,                0.73075,                 1.5145,                0.86777,                0.74077,                0.52381,                0.70677,                0.57234,                 0.7618,                 1.5569,                0.92099,             0.00030536,             0.00030536,             0.00030536
                     28,                0.76283,                 1.4335,                0.86871,                0.74114,                0.60066,                0.71861,                0.57105,                0.80148,                 1.5675,                0.92032,              0.0003167,              0.0003167,              0.0003167
                     29,                0.65568,                 1.2484,                0.84987,                0.74114,                0.60066,                0.71861,                0.57105,                0.80148,                 1.5675,                0.92032,             0.00032804,             0.00032804,             0.00032804
                     30,                 0.8127,                 1.4515,                0.91794,                 0.7389,                0.64019,                 0.7502,                0.59986,                0.83569,                 1.5433,                0.92308,             0.00033937,             0.00033937,             0.00033937
                     31,                0.78524,                 1.2627,                0.89651,                 0.6532,                0.75926,                0.77389,                0.61625,                0.82021,                 1.4863,                0.92322,             0.00035069,             0.00035069,             0.00035069
                     32,                0.74264,                 1.2789,                0.90408,                 0.7409,                0.71429,                0.77389,                0.61175,                 0.7951,                 1.4885,                 0.9214,             0.00036201,             0.00036201,             0.00036201
                     33,                0.73697,                 1.2332,                0.90144,                 0.7409,                0.71429,                0.77389,                0.61175,                 0.7951,                 1.4885,                 0.9214,             0.00037332,             0.00037332,             0.00037332
                     34,                0.70523,                 1.1764,                0.87427,                0.76333,                0.66667,                0.77243,                0.60992,                0.79052,                 1.4622,                0.92524,             0.00038081,             0.00038081,             0.00038081
                     35,                0.80029,                 1.3823,                0.89083,                 0.7463,                0.71429,                0.77915,                0.59844,                0.79738,                 1.4197,                0.92225,             0.00038068,             0.00038068,             0.00038068
                     36,                0.70688,                 1.1881,                 0.8986,                0.73244,                0.71429,                0.78066,                0.61166,                0.83262,                 1.4302,                0.92315,             0.00038055,             0.00038055,             0.00038055
                     37,                0.72185,                 1.1905,                0.85943,                0.73244,                0.71429,                0.78066,                0.61166,                0.83262,                 1.4302,                0.92315,             0.00038043,             0.00038043,             0.00038043
                     38,                0.63467,                 1.0686,                0.85683,                0.72361,                0.71429,                0.78855,                0.61255,                0.89464,                 1.4696,                0.92751,              0.0003803,              0.0003803,              0.0003803
